epoch,loss,val_loss
0,3611.0016636,516.408934264
1,6221.82559737,917.981079578
2,14641.8654652,1223.88824897
3,4836.56420976,3773.67156884
4,12693.5839639,498.893537814
5,5067.16770898,995.17804727
6,3098.15660255,818.280277415
7,9372.08111763,412.157272775
8,2932.58634357,1594.15208132
9,8554.99609386,490.563187437
10,3381.24819715,1908.20765774
11,2740.39174392,675.23468092
12,3131.37773271,1096.42962744
13,5369.50459062,304.821969054
14,2004.45240283,429.774844249
15,3784.45889038,864.857297895
16,4806.95419477,2537.97294853
17,3467.71436766,803.653930336
18,8982.04754617,327.911346403
19,2186.10911154,280.582106432
20,2878.30894282,1102.43520769
21,3761.32117959,358.722475948
22,3405.21570742,772.888951919
23,3653.86470491,461.701046057
24,1794.39660968,1677.24048011
25,3050.97989876,604.323184375
26,2375.95464613,1342.50046568
27,3268.99208036,336.821567121
28,2653.85257381,290.495213524
29,1914.98973343,251.794824243
30,1537.51751284,261.831533486
31,3228.4997947,367.067775807
32,1897.80481769,517.681440818
33,4234.91909642,397.435129224
34,2531.63892084,344.272486422
35,3349.42038935,172.838946457
36,2469.95043995,257.214717291
37,2633.34174257,223.286140655
38,2100.18191252,238.281045898
39,1341.74554385,1450.49741435
40,2386.80869451,446.850609256
41,2351.9902847,473.647445937
42,1611.88671898,449.393523191
43,3042.33855782,376.149511786
44,1930.39743361,424.301106371
45,1713.71225646,469.784436859
46,1320.40572832,350.701699815
47,1511.06348475,548.962087239
48,2859.00637317,997.844732405
49,950.204034942,258.695038668
50,1408.76394922,1131.08886828
51,952.305738882,309.729226542
52,4372.47030323,269.550293874
53,2401.57870627,178.729680642
54,1201.10200928,244.456711037
55,1381.13391443,352.871209625
56,3262.38696145,450.120771465
